Title,Channel,Url,ID,duration,Status
Behind the Doodle: Celebrating Johann Sebastian Bach,GoogleDoodles,https://www.youtube.com/watch?v=XBfYPp6KF2g&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=1,XBfYPp6KF2g,0:2:44,Found
"J. S. Bach: Piano Concerto No.5 in F minor, BWV 1056",Michal Šupák,https://www.youtube.com/watch?v=z4cmCIz1aJw&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=2,z4cmCIz1aJw,0:10:56,Found
Johann Sebastian Bach - Keyboard Concerto #5 in F minor,Robert Butts,https://www.youtube.com/watch?v=kOO7EuUOiNQ&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=3,kOO7EuUOiNQ,0:10:9,Found
Glenn Gould and Leonard Bernstein: Bach's Keyboard Concerto No. 1 (I) in D minor (BWV 1052),AntPDC,https://www.youtube.com/watch?v=9ZX_XCYokQo&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=4,9ZX_XCYokQo,0:14:14,Found
Bach: Piano Concerto No. 5,marce11o,https://www.youtube.com/watch?v=JrcV-ihbWO8&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=5,JrcV-ihbWO8,0:2:56,Found
Glenn Gould - J S Bach's Concerto No 5 in F minor for Harpsichord and Strings 1957 (excerpt),Tiago_R_Ribeiro,https://www.youtube.com/watch?v=m8SSL2cOnqs&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=6,m8SSL2cOnqs,0:3:25,Found
Johann Sebastian Bach   Pachelbel's Canon In D Major,Classical Music,https://www.youtube.com/watch?v=Go5xOnGzrTU&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=7,Go5xOnGzrTU,0:6:18,Found
J.S. Bach: The Violin Concertos,Brilliant Classics,https://www.youtube.com/watch?v=_ioc6sdgugo&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=8,_ioc6sdgugo,1:19:51,Found
J.S. Bach Complete Edition Vol. 1,Brilliant Classics,https://www.youtube.com/watch?v=EgTzZ-94CDc&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=9,EgTzZ-94CDc,4:54:7,Found
J.S. Bach Complete Edition Vol. 2,Brilliant Classics,https://www.youtube.com/watch?v=hvw0A-ylgLI&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=10,hvw0A-ylgLI,6:32:20,Found
"Shostakovich: Jazz & Ballet Suites, Film Music (Full Album)",Brilliant Classics,https://www.youtube.com/watch?v=oik__Y8yqkg&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=11,oik__Y8yqkg,2:58:40,Found
"Chopin - Waltz in C sharp minor, op.64, 2",Jer TheJambon,https://www.youtube.com/watch?v=QJD1spS-uEs&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=12,QJD1spS-uEs,0:3:6,Found
"Frederic Chopin- Waltz in C-sharp minor op.64, no.2",Pe3ckaa,https://www.youtube.com/watch?v=A8w_sDyx-E0&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=13,A8w_sDyx-E0,0:3:55,Found
The Best of Chopin,HALIDONMUSIC,https://www.youtube.com/watch?v=wygy721nzRc&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=14,wygy721nzRc,1:43:18,Found
Chopin - Relaxing Classical Music,HALIDONMUSIC,https://www.youtube.com/watch?v=y1dbbrfekAM&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=15,y1dbbrfekAM,1:43:18,Found
